GC%	Total	Normalized Fraction(PDF)
0.000	69431.5	0.557787
0.013	102778.5	0.825684
0.025	146890.5	1.180064
0.038	205379.0	1.649939
0.051	225305.5	1.810021
0.063	220459.5	1.771090
0.076	256365.0	2.059542
0.089	244166.0	1.961539
0.101	252637.0	2.029592
0.114	274968.5	2.208995
0.127	320829.5	2.577425
0.139	353971.5	2.843676
0.152	384564.5	3.089449
0.165	380089.0	3.053494
0.177	388051.0	3.117458
0.190	396329.0	3.183960
0.203	388330.0	3.119699
0.215	378522.5	3.040910
0.228	385676.5	3.098382
0.241	401995.0	3.229479
0.253	331857.5	2.666020
0.266	302475.5	2.429976
0.278	306669.5	2.463669
0.291	287070.5	2.306218
0.304	299796.0	2.408450
0.316	286770.0	2.303804
0.329	239808.5	1.926533
0.342	199778.0	1.604942
0.354	170863.5	1.372654
0.367	154423.0	1.240577
0.380	246835.0	1.982981
0.392	240980.5	1.935948
0.405	181192.0	1.455629
0.418	146874.5	1.179935
0.430	102497.5	0.823427
0.443	82442.0	0.662309
0.456	67459.0	0.541941
0.468	46598.0	0.374351
0.481	58947.0	0.473558
0.494	35527.5	0.285415
0.506	43762.5	0.351572
0.519	37240.0	0.299172
0.532	32397.5	0.260270
0.544	18734.5	0.150506
0.557	15403.5	0.123746
0.570	13958.0	0.112133
0.582	21508.0	0.172787
0.595	21221.5	0.170486
0.608	6137.5	0.049306
0.620	6881.5	0.055283
0.633	5072.0	0.040747
0.646	9943.5	0.079882
0.658	8996.5	0.072275
0.671	5172.0	0.041550
0.684	4130.0	0.033179
0.696	1548.0	0.012436
0.709	2038.5	0.016377
0.722	2034.5	0.016344
0.734	3251.0	0.026117
0.747	4567.0	0.036690
0.759	3789.0	0.030439
0.772	193.0	0.001550
0.785	78.0	0.000627
0.797	0.0	0.000000
0.810	0.0	0.000000
0.823	0.0	0.000000
0.835	0.0	0.000000
0.848	0.0	0.000000
0.861	0.0	0.000000
0.873	0.0	0.000000
0.886	0.0	0.000000
0.899	0.0	0.000000
0.911	0.0	0.000000
0.924	0.0	0.000000
0.937	0.0	0.000000
0.949	0.0	0.000000
0.962	0.0	0.000000
0.975	0.0	0.000000
0.987	0.0	0.000000
1.000	0.0	0.000000
1.013	0.0	0.000000
