regulator	replicate	fastq_1	fastq_2
PDR3xstandard	A	fastq/SRX20967174_SRR25220322_1.fastq.gz	fastq/SRX20967174_SRR25220322_2.fastq.gz
PDR3xstandard	B	fastq/SRX20967175_SRR25220321_1.fastq.gz	fastq/SRX20967175_SRR25220321_2.fastq.gz
PDR3xstandard	C	fastq/SRX20967176_SRR25220320_1.fastq.gz	fastq/SRX20967176_SRR25220320_2.fastq.gz
HAP3xstandard	A	fastq/SRX20967507_SRR25220605_1.fastq.gz	fastq/SRX20967507_SRR25220605_2.fastq.gz
HAP3xstandard	B	fastq/SRX20966945_SRR25220551_1.fastq.gz	fastq/SRX20966945_SRR25220551_2.fastq.gz
HAP3xstandard	C	fastq/SRX20966946_SRR25220550_1.fastq.gz	fastq/SRX20966946_SRR25220550_2.fastq.gz
RTG3xstandard	A	fastq/SRX20967228_SRR25220576_1.fastq.gz	fastq/SRX20967228_SRR25220576_2.fastq.gz
RTG3xstandard	B	fastq/SRX20967325_SRR25220787_1.fastq.gz	fastq/SRX20967325_SRR25220787_2.fastq.gz
RTG3xstandard	C	fastq/SRX20967326_SRR25220786_1.fastq.gz	fastq/SRX20967326_SRR25220786_2.fastq.gz
REB1xstandard	A	fastq/SRX20967195_SRR25220301_1.fastq.gz	fastq/SRX20967195_SRR25220301_2.fastq.gz
REB1xstandard	B	fastq/SRX20967196_SRR25220300_1.fastq.gz	fastq/SRX20967196_SRR25220300_2.fastq.gz
REB1xstandard	C	fastq/SRX20967197_SRR25220299_1.fastq.gz	fastq/SRX20967197_SRR25220299_2.fastq.gz
TEC1xstandard	A	fastq/SRX20967366_SRR25220746_1.fastq.gz	fastq/SRX20967366_SRR25220746_2.fastq.gz
TEC1xstandard	B	fastq/SRX20967367_SRR25220745_1.fastq.gz	fastq/SRX20967367_SRR25220745_2.fastq.gz
TEC1xstandard	C	fastq/SRX20967368_SRR25220744_1.fastq.gz	fastq/SRX20967368_SRR25220744_2.fastq.gz
CYC8xstandard	A	fastq/SRX20967391_SRR25220721_1.fastq.gz	fastq/SRX20967391_SRR25220721_2.fastq.gz
CYC8xstandard	B	fastq/SRX20967392_SRR25220720_1.fastq.gz	fastq/SRX20967392_SRR25220720_2.fastq.gz
CYC8xstandard	C	fastq/SRX20967393_SRR25220719_1.fastq.gz	fastq/SRX20967393_SRR25220719_2.fastq.gz
SMP1xstandard	A	fastq/SRX20967345_SRR25220767_1.fastq.gz	fastq/SRX20967345_SRR25220767_2.fastq.gz
SMP1xstandard	B	fastq/SRX20967346_SRR25220766_1.fastq.gz	fastq/SRX20967346_SRR25220766_2.fastq.gz
