GC%	Total	Normalized Fraction(PDF)
0.000	6041.0	0.039260
0.013	5219.0	0.033918
0.025	4777.0	0.031046
0.038	5068.0	0.032937
0.051	4264.0	0.027712
0.063	3624.0	0.023552
0.076	3735.0	0.024274
0.089	3543.0	0.023026
0.101	3787.0	0.024612
0.114	4408.0	0.028648
0.127	5736.0	0.037278
0.139	7679.0	0.049906
0.152	10611.0	0.068961
0.165	15234.0	0.099006
0.177	21928.0	0.142510
0.190	30963.0	0.201228
0.203	43755.0	0.284363
0.215	62471.0	0.405998
0.228	89325.0	0.580522
0.241	123556.0	0.802989
0.253	172530.0	1.121270
0.266	236116.0	1.534514
0.278	314194.0	2.041942
0.291	406653.0	2.642832
0.304	508881.0	3.307210
0.316	616179.0	4.004538
0.329	718918.0	4.672237
0.342	808406.0	5.253818
0.354	873695.0	5.678130
0.367	908617.0	5.905088
0.380	910641.0	5.918242
0.392	877367.0	5.701995
0.405	810847.0	5.269682
0.418	723507.0	4.702061
0.430	627638.0	4.079010
0.443	525513.0	3.415301
0.456	425323.0	2.764168
0.468	334208.0	2.172013
0.481	254912.0	1.656669
0.494	192235.0	1.249332
0.506	141110.0	0.917072
0.519	98749.0	0.641768
0.532	68741.0	0.446747
0.544	46823.0	0.304302
0.557	32179.0	0.209131
0.570	21720.0	0.141158
0.582	15130.0	0.098330
0.595	9628.0	0.062572
0.608	6707.0	0.043589
0.620	4835.0	0.031423
0.633	2958.0	0.019224
0.646	1725.0	0.011211
0.658	1249.0	0.008117
0.671	842.0	0.005472
0.684	541.0	0.003516
0.696	300.0	0.001950
0.709	185.0	0.001202
0.722	116.0	0.000754
0.734	52.0	0.000338
0.747	32.0	0.000208
0.759	15.0	0.000097
0.772	3.0	0.000019
0.785	1.0	0.000006
0.797	0.0	0.000000
0.810	0.0	0.000000
0.823	0.0	0.000000
0.835	0.0	0.000000
0.848	0.0	0.000000
0.861	0.0	0.000000
0.873	0.0	0.000000
0.886	0.0	0.000000
0.899	0.0	0.000000
0.911	0.0	0.000000
0.924	0.0	0.000000
0.937	0.0	0.000000
0.949	0.0	0.000000
0.962	0.0	0.000000
0.975	0.0	0.000000
0.987	0.0	0.000000
1.000	0.0	0.000000
1.013	0.0	0.000000
