GC%	Total	Normalized Fraction(PDF)
0.000	32.0	0.000244
0.011	30.0	0.000229
0.022	33.0	0.000252
0.033	92.0	0.000701
0.043	127.0	0.000968
0.054	130.0	0.000991
0.065	260.0	0.001982
0.076	311.0	0.002371
0.087	535.0	0.004078
0.098	632.0	0.004817
0.109	827.0	0.006304
0.120	1148.0	0.008750
0.130	1832.0	0.013964
0.141	3023.0	0.023042
0.152	4559.0	0.034750
0.163	7066.0	0.053859
0.174	10469.0	0.079798
0.185	15253.0	0.116263
0.196	22234.0	0.169474
0.207	31939.0	0.243449
0.217	43610.0	0.332409
0.228	61005.0	0.464999
0.239	85717.0	0.653361
0.250	117860.0	0.898365
0.261	157623.0	1.201451
0.272	209195.0	1.594548
0.283	270269.0	2.060073
0.293	343630.0	2.619253
0.304	426363.0	3.249869
0.315	513772.0	3.916127
0.326	599687.0	4.570998
0.337	680597.0	5.187719
0.348	749916.0	5.716089
0.359	798098.0	6.083347
0.370	820486.0	6.253995
0.380	821990.0	6.265459
0.391	794300.0	6.054398
0.402	743390.0	5.666346
0.413	678623.0	5.172672
0.424	601657.0	4.586014
0.435	517021.0	3.940892
0.446	433529.0	3.304491
0.457	352722.0	2.688555
0.467	283891.0	2.163904
0.478	224944.0	1.714592
0.489	173590.0	1.323156
0.500	131607.0	1.003149
0.511	95881.0	0.730834
0.522	68533.0	0.522380
0.533	50139.0	0.382175
0.543	35975.0	0.274212
0.554	25590.0	0.195055
0.565	17486.0	0.133284
0.576	12086.0	0.092123
0.587	8468.0	0.064546
0.598	6065.0	0.046229
0.609	4419.0	0.033683
0.620	3344.0	0.025489
0.630	2119.0	0.016152
0.641	1418.0	0.010808
0.652	1062.0	0.008095
0.663	689.0	0.005252
0.674	377.0	0.002874
0.685	243.0	0.001852
0.696	127.0	0.000968
0.707	95.0	0.000724
0.717	47.0	0.000358
0.728	35.0	0.000267
0.739	11.0	0.000084
0.750	5.0	0.000038
0.761	0.0	0.000000
0.772	0.0	0.000000
0.783	0.0	0.000000
0.793	0.0	0.000000
0.804	0.0	0.000000
0.815	0.0	0.000000
0.826	0.0	0.000000
0.837	0.0	0.000000
0.848	0.0	0.000000
0.859	0.0	0.000000
0.870	0.0	0.000000
0.880	0.0	0.000000
0.891	0.0	0.000000
0.902	0.0	0.000000
0.913	0.0	0.000000
0.924	0.0	0.000000
0.935	0.0	0.000000
0.946	0.0	0.000000
0.957	0.0	0.000000
0.967	0.0	0.000000
0.978	0.0	0.000000
0.989	0.0	0.000000
1.000	0.0	0.000000
