GC%	Total	Normalized Fraction(PDF)
0.000	0.0	0.000000
0.011	0.0	0.000000
0.022	0.5	0.000071
0.033	2.0	0.000285
0.043	3.0	0.000428
0.054	2.5	0.000357
0.065	10.5	0.001498
0.076	8.5	0.001213
0.087	26.5	0.003780
0.098	45.0	0.006420
0.109	56.0	0.007989
0.120	70.5	0.010057
0.130	132.5	0.018902
0.141	208.0	0.029673
0.152	350.5	0.050001
0.163	530.0	0.075608
0.174	837.5	0.119476
0.185	1220.0	0.174042
0.196	1735.5	0.247582
0.207	2501.5	0.356858
0.217	3498.5	0.499087
0.228	4840.0	0.690462
0.239	6447.5	0.919784
0.250	8240.5	1.175569
0.261	10749.5	1.533496
0.272	14154.0	2.019173
0.283	17505.0	2.497219
0.293	22214.5	3.169064
0.304	26868.5	3.832992
0.315	31150.0	4.443779
0.326	35249.0	5.028532
0.337	38389.5	5.476548
0.348	41171.0	5.873350
0.359	42627.5	6.081130
0.370	42319.5	6.037192
0.380	41807.0	5.964080
0.391	39970.5	5.702089
0.402	36534.5	5.211918
0.413	32459.0	4.630518
0.424	28473.5	4.061957
0.435	23850.0	3.402380
0.446	19464.5	2.776756
0.457	15873.0	2.264402
0.467	12979.0	1.851551
0.478	10167.0	1.450398
0.489	8898.5	1.269437
0.500	5860.0	0.835973
0.511	4150.0	0.592028
0.522	3142.0	0.448230
0.533	2192.0	0.312705
0.543	1652.5	0.235741
0.554	1198.0	0.170904
0.565	851.0	0.121401
0.576	614.0	0.087592
0.587	428.0	0.061057
0.598	295.5	0.042155
0.609	230.5	0.032883
0.620	249.5	0.035593
0.630	150.5	0.021470
0.641	71.5	0.010200
0.652	59.0	0.008417
0.663	47.0	0.006705
0.674	26.5	0.003780
0.685	16.5	0.002354
0.696	10.5	0.001498
0.707	5.0	0.000713
0.717	6.0	0.000856
0.728	3.5	0.000499
0.739	0.5	0.000071
0.750	0.5	0.000071
0.761	0.0	0.000000
0.772	0.0	0.000000
0.783	0.0	0.000000
0.793	0.0	0.000000
0.804	0.0	0.000000
0.815	0.0	0.000000
0.826	0.0	0.000000
0.837	0.0	0.000000
0.848	0.0	0.000000
0.859	0.0	0.000000
0.870	0.0	0.000000
0.880	0.0	0.000000
0.891	0.0	0.000000
0.902	0.0	0.000000
0.913	0.0	0.000000
0.924	0.0	0.000000
0.935	0.0	0.000000
0.946	0.0	0.000000
0.957	0.0	0.000000
0.967	0.0	0.000000
0.978	0.0	0.000000
0.989	0.0	0.000000
1.000	0.0	0.000000
