name	Unique Positions	Total Tags
genome=/ref/mblab/data/S288C_R64/S288C_reference_genome_R64-5-1_20240529/S288C_reference_sequence_R64-5-1_20240529_chr_normalized.fa	1248972	9840759.0
fragmentLengthEstimate=79		
peakSizeEstimate=66		
tagsPerBP=0.811512		
averageTagsPerPosition=7.472		
medianTagsPerPosition=0		
averageTagLength=24.986		
gsizeEstimate=12126445		
averageFragmentGCcontent=0.231		
chrI	17083	10533.0
chrII	70761	43648.0
chrIII	26838	16841.0
chrIV	131164	80756.0
chrV	49781	30600.0
chrVI	22571	13795.0
chrVII	95068	58562.0
chrVIII	46486	29058.0
chrIX	36144	22147.0
chrX	62408	38490.0
chrXI	59407	36739.0
chrXII	88980	64787.0
chrXIII	79886	49369.0
chrXIV	66920	41722.0
chrXV	94632	58244.0
chrXVI	80842	49759.0
chrM	220001	9195709.0
cmd=makeTagDirectory results/tag_dirs/control_MNase results/tag_dirs/control_MNase_temp.sam -format sam -unique -mapq 10 -fragLength 79 -genome /ref/mblab/data/S288C_R64/S288C_reference_genome_R64-5-1_20240529/S288C_reference_sequence_R64-5-1_20240529_chr_normalized.fa -checkGC		
